Node,Distance
1,0.0
2,803.0
3,50999.0
4,50841.0
5,20130.0
6,20904.0
7,34326.0
8,35857.0
9,54635.0
10,56308.0
11,56035.0
12,842.0
13,1394.0
14,111751.0
15,113122.0
16,189934.0
17,191593.0
18,281787.0
19,282799.0
20,274315.0
21,273089.0
22,275580.0
23,75847.0
24,78554.0
25,162515.0
26,161995.0
27,45742.0
28,45845.0
29,27333.0
30,27851.0
31,156680.0
32,160092.0
33,171750.0
34,173744.0
35,172087.0
36,166402.0
37,166765.0
38,152374.0
39,153392.0
40,173960.0
41,174352.0
42,28407.0
43,164882.0
44,164312.0
45,162548.0
46,167797.0
47,167225.0
48,1420.0
49,137327.0
50,135812.0
51,138513.0
52,154651.0
53,156719.0
54,125265.0
55,125785.0
56,126191.0
57,126925.0
58,123949.0
59,124654.0
60,99554.0
61,98301.0
62,105115.0
63,107533.0
64,101561.0
65,102592.0
66,123855.0
67,103104.0
68,99871.0
69,98551.0
70,98097.0
71,97744.0
72,102109.0
73,107271.0
74,72402.0
75,71604.0
76,73809.0
77,80774.0
78,80286.0
79,81705.0
80,75581.0
81,81570.0
82,87599.0
83,87968.0
84,89343.0
85,141013.0
86,133092.0
87,122859.0
88,149930.0
89,150258.0
90,151295.0
91,150839.0
92,150944.0
93,151208.0
94,164471.0
95,164614.0
96,106948.0
97,109293.0
98,108182.0
99,111283.0
100,114015.0
101,117192.0
102,123153.0
103,129270.0
104,115638.0
105,116703.0
106,104624.0
107,110415.0
108,103208.0
109,100923.0
110,96124.0
111,105545.0
112,99126.0
113,92004.0
114,92115.0
115,90568.0
116,99526.0
117,103766.0
118,96975.0
119,98027.0
120,93344.0
121,92047.0
122,93829.0
123,91797.0
124,93935.0
125,88203.0
126,90369.0
127,91400.0
128,92454.0
129,87679.0
130,80720.0
131,86215.0
132,87476.0
133,93347.0
134,90461.0
135,91466.0
136,92001.0
137,93152.0
138,99771.0
139,103328.0
140,102446.0
141,103931.0
142,106019.0
143,103234.0
144,105131.0
145,103707.0
146,110180.0
147,85683.0
148,87954.0
149,89274.0
150,110962.0
151,110945.0
152,74339.0
153,76581.0
154,83881.0
155,84831.0
156,84943.0
157,86867.0
158,86313.0
159,82989.0
160,84472.0
161,73850.0
162,68834.0
163,76737.0
164,175127.0
165,176863.0
166,99807.0
167,95876.0
168,105940.0
169,107285.0
170,102412.0
171,100731.0
172,104146.0
173,96475.0
174,98438.0
175,93122.0
176,88327.0
177,107890.0
178,102829.0
179,98683.0
180,99601.0
181,94646.0
182,95208.0
183,97330.0
184,100169.0
185,98219.0
186,94832.0
187,93886.0
188,82165.0
189,83066.0
190,82947.0
191,87121.0
192,83188.0
193,85031.0
194,84520.0
195,85216.0
196,77270.0
197,80548.0
198,86868.0
199,90851.0
200,88037.0
201,88430.0
202,86102.0
203,82177.0
204,89889.0
205,79016.0
206,81265.0
207,88159.0
208,81180.0
209,80148.0
210,78480.0
211,80671.0
212,80974.0
213,83286.0
214,84564.0
215,101330.0
216,103308.0
217,104392.0
218,104417.0
219,105526.0
220,107986.0
221,111589.0
222,106937.0
223,106141.0
224,107373.0
225,104922.0
226,119164.0
227,104160.0
228,103657.0
229,99546.0
230,173990.0
231,114818.0
232,110355.0
233,113740.0
234,114015.0
235,114348.0
236,116828.0
237,114699.0
238,116437.0
239,117541.0
240,121417.0
241,118881.0
242,123754.0
243,125494.0
244,125330.0
245,122084.0
246,123341.0
247,123526.0
248,126219.0
249,173433.0
250,117450.0
251,109648.0
252,115597.0
253,91578.0
254,94561.0
255,107167.0
256,98246.0
257,102228.0
258,102780.0
259,103014.0
260,95157.0
261,115716.0
262,99290.0
263,88978.0
264,86742.0
265,94644.0
266,85568.0
267,86461.0
268,89208.0
269,92383.0
270,93880.0
271,103750.0
272,105809.0
273,108470.0
274,108117.0
275,109836.0
276,105144.0
277,106570.0
278,104511.0
279,103080.0
280,101317.0
281,93454.0
282,91827.0
283,88833.0
284,87931.0
285,104806.0
286,105651.0
287,107385.0
288,109296.0
289,68520.0
290,71553.0
291,64455.0
292,68369.0
293,67772.0
294,66733.0
295,73180.0
296,72367.0
297,63960.0
298,74543.0
299,73982.0
300,77047.0
301,74389.0
302,83058.0
303,86393.0
304,67629.0
305,63842.0
306,64706.0
307,63318.0
308,62756.0
309,66587.0
310,62176.0
311,62529.0
312,64301.0
313,59537.0
314,62716.0
315,64260.0
316,63060.0
317,63078.0
318,59164.0
319,59639.0
320,58515.0
321,62372.0
322,67883.0
323,68555.0
324,70202.0
325,74197.0
326,77299.0
327,72274.0
328,74017.0
329,73157.0
330,65433.0
331,64715.0
332,66575.0
333,66861.0
334,68111.0
335,66486.0
336,67872.0
337,60855.0
338,60604.0
339,59925.0
340,69563.0
341,61014.0
342,56956.0
343,61448.0
344,60901.0
345,56362.0
346,56831.0
347,55880.0
348,62319.0
349,50843.0
350,64165.0
351,68380.0
352,65657.0
353,65947.0
354,64596.0
355,67644.0
356,70764.0
357,69446.0
358,53970.0
359,55268.0
360,55842.0
361,51708.0
362,50926.0
363,53637.0
364,50370.0
365,49997.0
366,48405.0
367,63384.0
368,69981.0
369,64208.0
370,65319.0
371,67561.0
372,46319.0
373,48450.0
374,87999.0
375,89335.0
376,87837.0
377,93542.0
378,83506.0
379,93638.0
380,84789.0
381,82700.0
382,81395.0
383,86619.0
384,78652.0
385,78233.0
386,81123.0
387,81361.0
388,77229.0
389,78177.0
390,79066.0
391,85829.0
392,87726.0
393,83061.0
394,79840.0
395,81400.0
396,81711.0
397,81376.0
398,79953.0
399,85358.0
400,78448.0
401,81001.0
402,76619.0
403,72083.0
404,70830.0
405,76017.0
406,73151.0
407,80558.0
408,77681.0
409,74409.0
410,75435.0
411,76754.0
412,81697.0
413,70055.0
414,72300.0
415,72350.0
416,73598.0
417,71105.0
418,70586.0
419,70858.0
420,67373.0
421,72403.0
422,67164.0
423,66726.0
424,62832.0
425,65863.0
426,60789.0
427,63487.0
428,67130.0
429,68959.0
430,66451.0
431,58680.0
432,63472.0
433,67512.0
434,67964.0
435,69481.0
436,64870.0
437,65406.0
438,64144.0
439,67727.0
440,65411.0
441,76103.0
442,76092.0
443,78181.0
444,75177.0
445,71077.0
446,64699.0
447,66352.0
448,66173.0
449,66688.0
450,66910.0
451,67445.0
452,66247.0
453,65587.0
454,67798.0
455,69370.0
456,68223.0
457,67012.0
458,68465.0
459,71339.0
460,72746.0
461,74948.0
462,73588.0
463,76416.0
464,73204.0
465,62636.0
466,61613.0
467,62634.0
468,66426.0
469,63274.0
470,62115.0
471,61366.0
472,59277.0
473,57906.0
474,57518.0
475,60440.0
476,56592.0
477,66086.0
478,65138.0
479,60652.0
480,59981.0
481,69333.0
482,70558.0
483,70911.0
484,72772.0
485,65601.0
486,58567.0
487,60652.0
488,63293.0
489,56340.0
490,54114.0
491,56758.0
492,76393.0
493,77407.0
494,75211.0
495,76779.0
496,76060.0
497,75005.0
498,76795.0
499,71743.0
500,78615.0
501,67227.0
502,73358.0
503,59784.0
504,69122.0
505,70046.0
506,61168.0
507,72884.0
508,62820.0
509,61543.0
510,64307.0
511,67989.0
512,68806.0
513,71736.0
514,73752.0
515,74329.0
516,55557.0
517,59364.0
518,75100.0
519,61642.0
520,62544.0
521,71149.0
522,70157.0
523,70874.0
524,69713.0
525,69935.0
526,71986.0
527,67263.0
528,59190.0
529,60731.0
530,57698.0
